timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1701701276953,383,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,5780,446,4,4,https://www.blazedemo.com/confirmation.php,372,0,0
1701701276164,1164,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-2,,true,,19888,1000,4,4,null,1123,11,174
1701701276791,545,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,7389,255,4,4,https://www.blazedemo.com/reserve.php,527,0,175
1701701276682,813,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,7389,255,4,4,https://www.blazedemo.com/reserve.php,793,0,537
1701701277342,359,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,6719,299,4,4,https://www.blazedemo.com/purchase.php,356,0,0
1701701277496,286,https://www.blazedemo.com/purchase.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,6719,299,4,4,https://www.blazedemo.com/purchase.php,275,0,0
1701701277207,741,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-4,text,true,,7389,255,4,4,https://www.blazedemo.com/reserve.php,723,0,217
1701701277348,626,https://www.blazedemo.com/reserve.php,200,OK,Ensaio - Ultimate Thread Group 1-2,text,true,,7389,255,4,4,https://www.blazedemo.com/reserve.php,610,0,194
1701701277703,337,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-5,text,true,,5780,440,4,4,https://www.blazedemo.com/confirmation.php,335,0,0
1701701276790,1241,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-5,,true,,19888,994,4,4,null,1218,11,175
1701701277787,355,https://www.blazedemo.com/confirmation.php,200,OK,Ensaio - Ultimate Thread Group 1-3,text,true,,5780,428,4,4,https://www.blazedemo.com/confirmation.php,344,0,0
1701701276680,1454,Test,200,"Number of samples in transaction : 3, number of failing samples : 0",Ensaio - Ultimate Thread Group 1-3,,true,,19888,982,4,4,null,1412,9,537
